"puma2020","cz90","afactor"
"401909",35100,0.79590387626079
"401000",35500,1
"3500100",35500,6.55125548192794e-05
"400500",35401,0.999628172617144
"400500",35401,0.000371827382855783
"402502",35401,1
"402503",35401,1
"400601",37901,0.8870000044927
"400601",38300,0.1129999955073
"400602",37901,0.8870000044927
"400602",38300,0.1129999955073
"400701",37901,0.172187893614251
"400701",38300,0.0219359989924126
"400701",38100,0.805876107393336
"401101",38100,1
"400400",35001,0.585366006304577
"400400",35002,0.0879024037129998
"400400",35100,0.326731589982423
"400805",35001,0.0550944652370215
"400805",35002,0.00827334671548492
"400805",35100,0.0307518749504512
"400803",35001,1
"400805",35001,0.905880313097042
"401903",35001,0.0904322322284683
"400807",35001,1
"400900",35002,0.212000000655651
"400900",35100,0.787999999344349
"500101",30300,0.999885873412243
"500102",30300,1
"500101",30300,3.80421963245905e-05
"500201",30300,1
"500202",30300,1
"500300",25101,0.376366643807407
"500300",25103,0.525511942904311
"500300",30300,0.0980955666490117
"500400",25101,6.36582707818393e-06
"500400",25103,8.8884554757758e-06
"500400",30300,1.65917842268621e-06
"500400",4200,3.55493985516114e-06
"500400",25102,0.090906188353817
"500400",25104,0.404582463295785
"500400",25105,0.504479435143293
"500400",30000,1.14448062732108e-05
"500500",4200,5.53807690934181e-07
"500500",25102,0.014161855984923
"500500",25104,0.0630280367373882
"500500",25105,0.0785905254331858
"500500",30000,1.78293360607886e-06
"500500",25900,0.844217245103206
"500700",25900,0.716622882894127
"500600",5300,0.249479043822642
"500600",25800,0.254519022503691
"500600",25900,0.0502692786313135
"500700",5300,0.0361234717420701
"500700",25800,0.0368532385580553
"500700",25900,0.00727877114770186
"500600",4301,0.00568603016691907
"500600",4302,0.0270249835932442
"500600",5300,0.319678750272711
"500600",25900,0.093342891009478
"500700",4301,0.00259114008103322
"500700",4302,0.0123153617061555
"500700",5300,0.145678513579722
"500700",25900,0.0425366202911347
"500800",4301,0.000871745246158736
"500800",4302,0.00414329510806899
"500800",5300,0.0490110714623946
"500800",25900,0.0143107263084248
"500800",4301,0.161945992553807
"500800",4302,0.769708779285357
"500900",4301,4.78461962361618e-06
"500900",4302,2.2740690718943e-05
"500900",4200,0.000308283460906873
"501501",4200,0.999989515841368
"501502",4200,0.0359928512871557
"501400",4200,2.21537913735388e-05
"501502",4200,0.964007148712844
"500800",4200,8.39003578860162e-06
"500900",4200,0.999664191228751
"501501",4200,1.04841586318829e-05
"501300",4200,4.63161307053415e-05
"501400",4200,0.790964209056223
"501000",4200,0.236989124874241
"501000",30000,0.762964988833536
"501400",4200,0.0182803122428565
"501400",30000,0.0588518069495624
"501100",30100,0.911881454192358
"501200",30100,7.0569140486691e-06
"4022100",30100,2.23483656684026e-05
"501000",30000,1.81884515777115e-05
"501000",30100,4.96048694932111e-06
"501000",34001,6.47798058491228e-06
"501000",34002,1.62593731107158e-05
"501100",30000,0.0349285118907286
"501100",30100,0.00952595808680523
"501100",34001,0.0124401035965749
"501100",34002,0.0312239722335334
"501200",30000,0.237968421244035
"501200",30100,0.064900480554272
"501200",34001,0.0847545931029192
"501200",34002,0.212729342739443
"501300",30000,9.17941550786927e-06
"501300",30100,2.50347703511936e-06
"501300",34001,3.26933137693196e-06
"501300",34002,8.20584099988111e-06
"501300",34001,0.934561095856043
"501400",34001,4.43075833660474e-05
"501400",4102,0.0914036219431942
"501400",4200,0.0179119475929597
"501400",4301,0.0225216408404649
"501600",4102,0.3144514016326
"501600",4200,0.0616215955870579
"501600",4301,0.0774800973833567
"501600",4101,0.113741566883475
"501600",4102,0.420844880039905
"501600",4200,0.00525414448199614
"501600",4301,0.00660631399160964
"501700",4001,0.162650323454959
"501700",4103,0.566723319207663
"2200500",4001,4.30754196215235e-06
"2200500",4103,1.50087895711642e-05
"501200",4001,0.0319712072446022
"501200",33500,0.201018978428343
"501200",34001,0.166649919772336
"501300",4001,0.00522955420105046
"501300",33500,0.0328808241455536
"501300",34001,0.0272590516017277
"501700",4001,0.0216501077804609
"501700",33500,0.136125061390247
"501700",34001,0.112851188166671
"600101",37800,0.998542196171728
"600111",37800,0.00230858455625367
"600112",37800,6.0631170630845e-05
"601301",37800,0.000287171282315491
"601310",37800,0.000359596629483586
"600101",37800,0.000747983116953782
"600111",37800,0.975878106786703
"600114",37800,0.0560639224934648
"600123",37800,0.64679456915725
"600101",37800,0.000709820711318077
"600111",37800,0.0218133086570434
"600112",37800,0.999171374004663
"600113",37800,0.125055445533322
"600114",37800,0.059605906808647
"600115",37800,1.00639057776127e-05
"600113",37800,0.842112071637082
"600114",37800,0.000348120153945616
"600123",37800,0.35320543084275
"600112",37800,1.01051949023406e-05
"600113",37800,0.0328324828295954
"600114",37800,0.883982050543943
"600115",37800,4.02556223995138e-05
"600112",37800,0.000555785730782746
"600115",37800,0.999949680471823
"600116",37800,0.126091249803631
"600122",37800,0.262407177544043
"600116",37800,0.873875086963352
"600117",37800,8.15278315635e-05
"600118",37800,0.000218481887011252
"600122",37800,0.737592822455957
"600116",37800,3.36632330168989e-05
"600117",37800,0.999898090210546
"600118",37800,0.308126685881869
"600121",37800,0.0056902821084577
"600118",37800,0.691596010184617
"600119",37800,7.41111296388935e-05
"600121",37800,0.99421719297921
"600118",37800,5.88220465030293e-05
"600119",37800,0.999925888870361
"600120",37800,1
"600121",37800,7.40199298661164e-05
"601305",37800,0.000361045588023268
"601309",37800,2.89284887757464e-05
"600300",37000,0.39960040451287
"600300",37400,0.42857142005648
"600300",37903,0.17182817543065
"600700",37300,0.506313636363636
"600700",37300,0.493686363636364
"601100",36600,0.490490492504161
"601100",36700,0.114114112301811
"601100",37300,0.395395395194028
"601301",37800,0.997789651284863
"601310",37800,0.000895166057590003
"601301",37800,0.00192317743282193
"601310",37800,0.906260043228458
"601310",37800,0.0924851940844685
"601311",37800,0.999217720358588
"601312",37800,0.000229362587451598
"601314",37800,2.30696473510325e-05
"600112",37800,0.00020210389902065
"601305",37800,6.41858813363868e-05
"601311",37800,0.000782279641411724
